term,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,age_group,period,decile
gpt_d4,-0.0128057454155629,0.0108757960255955,0.239014498471549,19020846,34080490,True,76.4643878936768,ok,26-30,post_chatgpt,4
rb_d6,0.0083506136273116,0.013686851089727,0.541782704158214,19020846,34080490,True,76.4643878936768,ok,26-30,post_riksbank,6
gpt_d6,-0.0642064967108706,0.0122795740289709,1.70684452424403e-07,19020846,34080490,True,76.4643878936768,ok,26-30,post_chatgpt,6
rb_d7,0.0396881893985381,0.0128466035192721,0.0020056686177294,19020846,34080490,True,76.4643878936768,ok,26-30,post_riksbank,7
gpt_d7,-0.0924681272897394,0.0100432515364413,3.35394564159395e-20,19020846,34080490,True,76.4643878936768,ok,26-30,post_chatgpt,7
rb_d8,0.0113347185477086,0.0141470152355489,0.423010554694023,19020846,34080490,True,76.4643878936768,ok,26-30,post_riksbank,8
gpt_d8,-0.0825980906901314,0.0142291105312648,6.44172101715574e-09,19020846,34080490,True,76.4643878936768,ok,26-30,post_chatgpt,8
rb_d9,0.0237460952864051,0.0148598695035697,0.110042620351731,19020846,34080490,True,76.4643878936768,ok,26-30,post_riksbank,9
gpt_d9,-0.0652248041861599,0.0128838447864256,4.13736780449078e-07,19020846,34080490,True,76.4643878936768,ok,26-30,post_chatgpt,9
rb_d10,0.0142462356167009,0.0154767938288619,0.357316700172111,19020846,34080490,True,76.4643878936768,ok,26-30,post_riksbank,10
gpt_d10,-0.0829394097216171,0.012414654973764,2.37695874206632e-11,19020846,34080490,True,76.4643878936768,ok,26-30,post_chatgpt,10
rb_d1,-0.0069935488287891,0.0152042684227334,0.645535795692845,37555284,123663291,True,202.453969955444,ok,50+,post_riksbank,1
gpt_d1,-0.0125905940876225,0.0086202588530838,0.144130215420434,37555284,123663291,True,202.453969955444,ok,50+,post_chatgpt,1
rb_d2,4.47378566281464e-05,0.009913087246532,0.996399151643754,37555284,123663291,True,202.453969955444,ok,50+,post_riksbank,2
gpt_d2,-0.043826993401938,0.0073922578385371,3.05213015543522e-09,37555284,123663291,True,202.453969955444,ok,50+,post_chatgpt,2
rb_d3,-0.0341954857370089,0.0158192617379976,0.0306462439559105,37555284,123663291,True,202.453969955444,ok,50+,post_riksbank,3
gpt_d3,0.0063404287535411,0.0109603306828789,0.56293414393428,37555284,123663291,True,202.453969955444,ok,50+,post_chatgpt,3
rb_d4,0.0174649469460233,0.011104594626308,0.115772634066691,37555284,123663291,True,202.453969955444,ok,50+,post_riksbank,4
gpt_d4,0.0066999585617476,0.0061701089523136,0.277534908188619,37555284,123663291,True,202.453969955444,ok,50+,post_chatgpt,4
rb_d6,0.0438373197539197,0.0109933089348669,6.67348143690063e-05,37555284,123663291,True,202.453969955444,ok,50+,post_riksbank,6
gpt_d6,0.0201215898716601,0.0075387672455027,0.0076058821338255,37555284,123663291,True,202.453969955444,ok,50+,post_chatgpt,6
rb_d7,0.0133184299868415,0.0075707439533939,0.0785440550810099,37555284,123663291,True,202.453969955444,ok,50+,post_riksbank,7
gpt_d7,0.0126739350607207,0.0055841824991672,0.023231053871428,37555284,123663291,True,202.453969955444,ok,50+,post_chatgpt,7
rb_d8,0.0263512194781856,0.0104415782704759,0.011613304404109,37555284,123663291,True,202.453969955444,ok,50+,post_riksbank,8
gpt_d8,0.0237922544426103,0.006021311024247,7.77144261047346e-05,37555284,123663291,True,202.453969955444,ok,50+,post_chatgpt,8
rb_d9,0.0338256210599175,0.0085529347755001,7.65809257532849e-05,37555284,123663291,True,202.453969955444,ok,50+,post_riksbank,9
gpt_d9,0.0141261799768895,0.0068069846156404,0.0379635728496554,37555284,123663291,True,202.453969955444,ok,50+,post_chatgpt,9
rb_d10,0.051359960759242,0.0095599065822468,7.76811546344877e-08,37555284,123663291,True,202.453969955444,ok,50+,post_riksbank,10
gpt_d10,0.0276782748849729,0.0060015674019794,3.99118157063695e-06,37555284,123663291,True,202.453969955444,ok,50+,post_chatgpt,10
