term,coef,se,n,source,route,outcome
high,0.06645803994529235,0.004407869028389033,12545,ai_fouftg_2019_2021,education,ai_spend_pos
log_size,0.02013616819936916,0.0016603009040961091,12545,ai_fouftg_2019_2021,education,ai_spend_pos
const,-0.5440930643698295,0.05121910156476976,12545,ai_fouftg_2019_2021,education,ai_spend_log
high,0.5186863551132548,0.033722398594137296,12545,ai_fouftg_2019_2021,education,ai_spend_log
log_size,0.1726154354282859,0.014068111973874621,12545,ai_fouftg_2019_2021,education,ai_spend_log
const,-0.0642942497524226,0.006645524068692072,12014,ai_fouftg_2019_2021,occupation,ai_any
high,0.05625033959530769,0.004193210582621401,12014,ai_fouftg_2019_2021,occupation,ai_any
log_size,0.021715353476708617,0.0017806500939456388,12014,ai_fouftg_2019_2021,occupation,ai_any
const,-0.0642942497524226,0.006645524068692072,12014,ai_fouftg_2019_2021,occupation,ai_spend_pos
high,0.05625033959530769,0.004193210582621401,12014,ai_fouftg_2019_2021,occupation,ai_spend_pos
log_size,0.021715353476708617,0.0017806500939456388,12014,ai_fouftg_2019_2021,occupation,ai_spend_pos
const,-0.5991126730934824,0.05662582536317599,12014,ai_fouftg_2019_2021,occupation,ai_spend_log
high,0.45048886337354344,0.03226475261444409,12014,ai_fouftg_2019_2021,occupation,ai_spend_log
log_size,0.1859570035880206,0.015184505583656775,12014,ai_fouftg_2019_2021,occupation,ai_spend_log
const,-0.4718037600768664,0.0665617312690552,1006,ai_fouoff_2019_2021,education,ai_any
high,0.2693486250922603,0.036364049995580856,1006,ai_fouoff_2019_2021,education,ai_any
log_size,0.08734687973898858,0.008581688988213633,1006,ai_fouoff_2019_2021,education,ai_any
const,-0.4001255344025114,0.06346896836950527,1006,ai_fouoff_2019_2021,education,ai_spend_pos
high,0.22369161758330813,0.034858860203755865,1006,ai_fouoff_2019_2021,education,ai_spend_pos
log_size,0.07046360899920423,0.008152585130894181,1006,ai_fouoff_2019_2021,education,ai_spend_pos
const,-3.1711595946646938,0.4647098793636747,1006,ai_fouoff_2019_2021,education,ai_spend_log
high,1.5991774247922996,0.2392736193637607,1006,ai_fouoff_2019_2021,education,ai_spend_log
log_size,0.5097242972715694,0.06073471600961409,1006,ai_fouoff_2019_2021,education,ai_spend_log
const,-0.48770317231882054,0.07014020330044535,1004,ai_fouoff_2019_2021,occupation,ai_any
high,0.2832540803120427,0.038300034275727604,1004,ai_fouoff_2019_2021,occupation,ai_any
log_size,0.09020002039864042,0.009077072715613753,1004,ai_fouoff_2019_2021,occupation,ai_any
const,-0.3813206832774916,0.06761945524396173,1004,ai_fouoff_2019_2021,occupation,ai_spend_pos
high,0.21412156735428645,0.03705923721063438,1004,ai_fouoff_2019_2021,occupation,ai_spend_pos
log_size,0.06930743066562713,0.008693870858112485,1004,ai_fouoff_2019_2021,occupation,ai_spend_pos
const,-3.1259831632902415,0.508902623521666,1004,ai_fouoff_2019_2021,occupation,ai_spend_log
high,1.5844834034382131,0.26330956649175,1004,ai_fouoff_2019_2021,occupation,ai_spend_log
log_size,0.5114399487752861,0.06622529505739712,1004,ai_fouoff_2019_2021,occupation,ai_spend_log
const,0.08073063534365214,0.0207838279339357,3827,ai_fufi_2019,education,ai_any
high,0.05371396237012109,0.013580964317834529,3827,ai_fufi_2019,education,ai_any
log_size,0.01605094270424052,0.004463950809843795,3827,ai_fufi_2019,education,ai_any
const,0.08073063534365214,0.0207838279339357,3827,ai_fufi_2019,education,ai_spend_pos
high,0.05371396237012109,0.013580964317834529,3827,ai_fufi_2019,education,ai_spend_pos
log_size,0.01605094270424052,0.004463950809843795,3827,ai_fufi_2019,education,ai_spend_pos
const,-0.6773169400984357,0.1257347454588857,3827,ai_fufi_2019,education,ai_spend_log
high,0.5657125274815071,0.08761844339134146,3827,ai_fufi_2019,education,ai_spend_log
log_size,0.30747565370559315,0.03064052460293405,3827,ai_fufi_2019,education,ai_spend_log
const,0.06823923245500077,0.022438711617095933,3715,ai_fufi_2019,occupation,ai_any
high,0.04825545309774716,0.013111921689187268,3715,ai_fufi_2019,occupation,ai_any
log_size,0.01838862470525782,0.004677690278002442,3715,ai_fufi_2019,occupation,ai_any
const,0.06823923245500077,0.022438711617095933,3715,ai_fufi_2019,occupation,ai_spend_pos
high,0.04825545309774716,0.013111921689187268,3715,ai_fufi_2019,occupation,ai_spend_pos
log_size,0.01838862470525782,0.004677690278002442,3715,ai_fufi_2019,occupation,ai_spend_pos
const,-0.8089625976787054,0.13912561833247544,3715,ai_fufi_2019,occupation,ai_spend_log
high,0.5646043315970892,0.08354844600903541,3715,ai_fufi_2019,occupation,ai_spend_log
log_size,0.32832263049596644,0.032710540391331595,3715,ai_fufi_2019,occupation,ai_spend_log
const,-0.194693735799745,0.013481265787593415,3817,ai_itftg_2019,education,ai_any
high,0.20294144807883813,0.013993985532020595,3817,ai_itftg_2019,education,ai_any
log_size,0.0648715394470071,0.0037720432778650653,3817,ai_itftg_2019,education,ai_any
const,-0.22932398418871325,0.014773311366494875,3658,ai_itftg_2019,occupation,ai_any
high,0.1826476368955971,0.012585252431019751,3658,ai_itftg_2019,occupation,ai_any
log_size,0.07108747081226538,0.003958650166133669,3658,ai_itftg_2019,occupation,ai_any
