id,kind,document,where,statistic,printed,source,locator,transform,status,note
M079,derived,main_v3.tex,Section 3,"tau retained under industry x age x month, 26-30, per cent",27,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_industry.csv,a=csv:young_band=='26-30' and spec=='industry_age_month' and term=='post_x_high_x_young'|coef;b=csv:young_band=='26-30' and spec=='industry_age_month' and term=='interim_x_high_x_young'|coef;c=csv:young_band=='26-30' and spec=='baseline_same_sample' and term=='post_x_high_x_young'|coef;d=csv:young_band=='26-30' and spec=='baseline_same_sample' and term=='interim_x_high_x_young'|coef,100*(a-b)/(c-d),,
M080,derived,main_v3.tex,Section 3,move in tau at 22-25 when leverage terms enter,0.001,3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,a=csv:part=='K' and spec=='leverage' and young_band=='22-25' and term=='hy_tau'|coef;b=csv:part=='K' and spec=='base_balance_sheet' and young_band=='22-25' and term=='hy_tau'|coef,abs(a-b),,
M081,derived,main_v3.tex,Section 3,"tau retained against colleagues aged 31-49 alone, per cent",80,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,a=csv:part=='R' and spec=='ref_31-49' and sample=='E49' and young_band=='22-25' and term=='tau'|coef;b=csv:part=='R' and spec=='ref_31-69' and sample=='E49' and young_band=='22-25' and term=='tau'|coef,100*a/b,,
M082,number,main_v3.tex,Section 3,"tau per standard deviation of the score, per cent (one)",one,3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,csv:part=='Q' and spec=='continuous_per_sd' and young_band=='22-25' and term=='z_tau'|coef,100*(1-exp(x)),,
M083,derived,main_v3.tex,Section 3,tau at 22-25 among employers scored from 1 to 3 incumbents,-0.019,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_size.csv,a=csv:young_band=='22-25' and spec=='tercile_2' and term=='post_x_high_x_young'|coef;b=csv:young_band=='22-25' and spec=='tercile_2' and term=='interim_x_high_x_young'|coef,a-b,,
M084,derived,main_v3.tex,Section 3,"its SE, from the exported covariance",0.017,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/vcov_s83_size_tercile_2_22_25.csv,a=csv:term=='post_x_high_x_young'|post_x_high_x_young;b=csv:term=='interim_x_high_x_young'|interim_x_high_x_young;c=csv:term=='post_x_high_x_young'|interim_x_high_x_young,sqrt(a+b-2*c),,
M085,derived,main_v3.tex,Section 3,movement of tau at 22-25 when month-of-year terms replace the quarter terms,0.002,3_register_mona/exports/2026-09-26_1208_s102/month_of_year.csv,a=csv:spec=='gate' and young_band=='22-25' and term=='hy_tau'|coef;b=csv:spec=='month_of_year' and young_band=='22-25' and term=='hy_tau'|coef,b-a,,"month minus quarter, +0.0020"
M086,number,main_v3.tex,Section 3,tau at 22-25 with employers classified by the Eloundou rating,-0.024,3_register_mona/exports/2026-09-26_1527_s103/eloundou_classification.csv,csv:part=='E' and spec=='eloundou' and young_band=='22-25' and term=='hy_tau'|coef,,,
M087,number,main_v3.tex,Section 3,its SE,0.019,3_register_mona/exports/2026-09-26_1527_s103/eloundou_classification.csv,csv:part=='E' and spec=='eloundou' and young_band=='22-25' and term=='hy_tau'|se,,,
M088,number,main_v3.tex,Section 1,"share of advertisements the index scores, per cent",96,,,,PENDING,"100 minus OA043 (3.7 per cent of advertisements in the 31 unscored codes), itself pending; 96.3 rounds to 96"
M089,derived,main_v3.tex,Section 2,"share of counted person-months with cash pay, per cent",94,3_register_mona/exports/2026-09-26_1909_s104/payment_rule.csv,a=csv:period=='reference' and band=='all' and group=='all'|n_pay;b=csv:period=='tightening' and band=='all' and group=='all'|n_pay;c=csv:period=='interim' and band=='all' and group=='all'|n_pay;d=csv:period=='later' and band=='all' and group=='all'|n_pay;e=csv:period=='reference' and band=='all' and group=='all'|n_emp;f=csv:period=='tightening' and band=='all' and group=='all'|n_emp;g=csv:period=='interim' and band=='all' and group=='all'|n_emp;h=csv:period=='later' and band=='all' and group=='all'|n_emp,100*(a+b+c+d)/(e+f+g+h),,
M090,derived,main_v3.tex,Section 2,movement of tau on the shares if cash-pay person-months alone were counted,-0.0025,3_register_mona/exports/2026-09-26_1909_s104/payment_rule.csv,a=csv:period=='later' and band=='22-25' and group=='top'|share_pay;b=csv:period=='interim' and band=='22-25' and group=='top'|share_pay;c=csv:period=='later' and band=='22-25' and group=='rest'|share_pay;d=csv:period=='interim' and band=='22-25' and group=='rest'|share_pay;e=csv:period=='later' and band=='31-69' and group=='top'|share_pay;f=csv:period=='interim' and band=='31-69' and group=='top'|share_pay;g=csv:period=='later' and band=='31-69' and group=='rest'|share_pay;h=csv:period=='interim' and band=='31-69' and group=='rest'|share_pay,(log(a/b)-log(c/d))-(log(e/f)-log(g/h)),,
M091,number,main_v3.tex,Section 3,"placebo tau, design backdated three years, 22-25",-0.038,3_register_mona/exports/2026-09-26_2103_s105/prepath_placebo.csv,csv:part=='B' and spec=='placebo_shift_36' and young_band=='22-25' and term=='hy_tau'|coef,,,
M092,number,main_v3.tex,Section 3,its SE,0.008,3_register_mona/exports/2026-09-26_2103_s105/prepath_placebo.csv,csv:part=='B' and spec=='placebo_shift_36' and young_band=='22-25' and term=='hy_tau'|se,,,
M093,number,main_v3.tex,Section 3,"placebo tau, design backdated two years, 22-25",+0.004,3_register_mona/exports/2026-09-26_2103_s105/prepath_placebo.csv,csv:part=='B' and spec=='placebo_shift_24' and young_band=='22-25' and term=='hy_tau'|coef,,,
M094,number,main_v3.tex,Section 3,its SE,0.007,3_register_mona/exports/2026-09-26_2103_s105/prepath_placebo.csv,csv:part=='B' and spec=='placebo_shift_24' and young_band=='22-25' and term=='hy_tau'|se,,,
M095,number,main_v3.tex,Section 3,"separations tau at 22-25, SE by industry",0.032,3_register_mona/exports/2026-09-26_2103_s105/flows_industry.csv,csv:outcome=='seps' and term=='hy_tau'|se,,,
OA001,derived,appendix_v3.tex,I.2,qualifying floor raised (times),twelve,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_size.csv,a=csv:young_band=='22-25' and spec=='floor_60' and term=='post_x_high_x_young'|floor;b=csv:young_band=='22-25' and spec=='floor_5' and term=='post_x_high_x_young'|floor,a/b,,
OA002,number,appendix_v3.tex,"II.1, Fig. A1",R^2 of the independently rebuilt posting series against ours,0.998,,,,PENDING,Reported by the independent reproduction (archive/independent_reproduction/); no script of the package writes it to a file
OA003,number,appendix_v3.tex,"II.2, Fig. A1",month dummies before the first rate rise,26,output/results/posting_es_summary_v3.csv,csv:`Unnamed: 0`=='new_n_pre_ratehike_coefs'|value,,,
OA004,number,appendix_v3.tex,"II.2, Fig. A1","Wald chi2 on 26 pre-rise coefficients, monthly",107.2,output/results/posting_pretrend_v3.csv,csv:frequency=='monthly'|wald_stat,,,
OA005,number,appendix_v3.tex,"II.2, Fig. A1",quarterly pre-period coefficients,8,output/results/posting_pretrend_v3.csv,csv:frequency=='quarterly'|n_pre_periods,,,
OA006,number,appendix_v3.tex,"II.2, Fig. A1","Wald chi2, quarterly",53.0,output/results/posting_pretrend_v3.csv,csv:frequency=='quarterly'|wald_stat,,,
OA007,number,appendix_v3.tex,II.2,"post-ChatGPT coefficient, group x month-of-sample effects (Table A8)",-0.044,output/results/postings_seasonality.csv,csv:spec=='S2_groupmonth' and term=='gpt_x_high'|coef,,,
OA008,number,appendix_v3.tex,II.2,its SE,0.048,output/results/postings_seasonality.csv,csv:spec=='S2_groupmonth' and term=='gpt_x_high'|se,,,
OA009,number,appendix_v3.tex,"II.2, Fig. A1(b)",post-launch months Dec 2022-Jun 2026,43,output/results/posting_es_summary_v3.csv,csv:`Unnamed: 0`=='new_n_post_chatgpt_coefs'|value,,,
OA010,number,appendix_v3.tex,"II.2, Fig. A1(b)",average post-ChatGPT event-study coefficient vs Feb 2020,-0.184,output/results/posting_es_summary_v3.csv,csv:`Unnamed: 0`=='new_theta_hat'|value,,,
OA011,number,appendix_v3.tex,"II.2, Fig. A1(b)",its SE,0.057,output/results/posting_es_summary_v3.csv,csv:`Unnamed: 0`=='new_se_theta'|value,,,
OA012,number,appendix_v3.tex,"II.2, Fig. A1(b)",pre-period months on the Nov 2022 base,34,output/results/posting_rr_honestdid_v3.csv,csv:variant=='A_pre_launch' and method=='original'|n_pre,,,
OA013,number,appendix_v3.tex,"II.2, Fig. A1(b)",average re-based to Nov 2022,-0.185,output/results/posting_rr_honestdid_v3.csv,csv:variant=='A_pre_launch' and method=='original'|theta_hat,,,
OA014,number,appendix_v3.tex,"II.2, Fig. A1(b)",its SE,0.051,output/results/posting_rr_honestdid_v3.csv,csv:variant=='A_pre_launch' and method=='original'|se_theta,,,
OA015,number,appendix_v3.tex,"II.2, Fig. A1(b)","95% CI lower, exact parallel trends",-0.284,output/results/posting_rr_honestdid_v3.csv,csv:variant=='A_pre_launch' and method=='original'|lb,,,
OA016,number,appendix_v3.tex,"II.2, Fig. A1(b)","95% CI upper, exact parallel trends",-0.085,output/results/posting_rr_honestdid_v3.csv,csv:variant=='A_pre_launch' and method=='original'|ub,,,
OA017,number,appendix_v3.tex,"II.2, Fig. A1(b)",HonestDiD breakdown Mbar,0.015,output/results/posting_rr_honestdid_v3.csv,csv:variant=='A_pre_launch' and method=='original'|breakdown_mbar,,,
OA018,number,appendix_v3.tex,"II.2, Fig. A1(b)",breakdown in per cent of the largest pre-period change,1.5,output/results/posting_rr_honestdid_v3.csv,csv:variant=='A_pre_launch' and method=='original'|breakdown_mbar,100*x,,
OA019,number,appendix_v3.tex,"II.2, Fig. A1(b)",largest month-to-month pre-period change,0.287,output/results/posting_es_summary_v3.csv,csv:`Unnamed: 0`=='new_dmax_pre'|value,,,
OA020,derived,appendix_v3.tex,"II.2, Fig. A1(b)",admitted monthly drift = Mbar x largest change,0.004,output/results/posting_es_summary_v3.csv,m=@output/results/posting_rr_honestdid_v3.csv@csv:variant=='A_pre_launch' and method=='original'|breakdown_mbar;d=csv:`Unnamed: 0`=='new_dmax_pre'|value,m*d,,
OA021,derived,appendix_v3.tex,"II.2, Fig. A1(b)",bias averaged over 43 post months = drift x (43+1)/2,0.09,output/results/posting_es_summary_v3.csv,m=@output/results/posting_rr_honestdid_v3.csv@csv:variant=='A_pre_launch' and method=='original'|breakdown_mbar;d=csv:`Unnamed: 0`=='new_dmax_pre'|value;k=csv:`Unnamed: 0`=='new_n_post_chatgpt_coefs'|value,m*d*(k+1)/2,,
OA022,number,appendix_v3.tex,II.2,pooled post-launch term beta2,-0.059,output/results/postings_extended_did.csv,csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='gpt_x_high'|coef,,,
OA023,number,appendix_v3.tex,II.2,pooled rate-hike term beta1,-0.127,output/results/postings_extended_did.csv,csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='rb_x_high'|coef,,,
OA024,derived,appendix_v3.tex,II.2,sum of the two pooled terms,-0.186,output/results/postings_extended_did.csv,a=csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='rb_x_high'|coef;b=csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='gpt_x_high'|coef,a+b,,
OA025,number,appendix_v3.tex,"II.3, Fig. A2(a)","exposure vs revealed rate sensitivity, r",0.035,output/results/rate_sensitivity_correlation.csv,csv:measure=='unweighted_r'|value,,,submitted-version script src/08_interest_rate_exposure.py; original at tables/rate_sensitivity_correlation.csv
OA026,number,appendix_v3.tex,"II.3, Fig. A2(a)",its p-value,0.51,output/results/rate_sensitivity_correlation.csv,csv:measure=='unweighted_p'|value,,,submitted-version script src/08_interest_rate_exposure.py; original at tables/rate_sensitivity_correlation.csv
OA027,number,appendix_v3.tex,"II.3, Fig. A2(a)",r weighted by posting volume,-0.020,output/results/rate_sensitivity_correlation.csv,csv:measure=='weighted_r'|value,,,submitted-version script src/08_interest_rate_exposure.py; original at tables/rate_sensitivity_correlation.csv
OA028,number,appendix_v3.tex,"II.3, Fig. A2(b)",teleworkable occupations,187,output/results/telework_did_results_v3.csv,csv:group=='Teleworkable'|n_occ,,,2_postings/19 on the current window (January 2020 to June 2026)
OA029,number,appendix_v3.tex,"II.3, Fig. A2(b)",non-teleworkable occupations,182,output/results/telework_did_results_v3.csv,csv:group=='Non-teleworkable'|n_occ,,,2_postings/19 on the current window (January 2020 to June 2026)
OA030,number,appendix_v3.tex,"II.3, Fig. A2(b)","post-launch coefficient, non-teleworkable",-0.216,output/results/telework_did_results_v3.csv,csv:group=='Non-teleworkable'|beta2_gpt,,,2_postings/19 on the current window (January 2020 to June 2026)
OA031,number,appendix_v3.tex,II.3 and III.2,"employer AI and teleworkability scores, correlation",0.88,3_register_mona/exports/2026-09-23_1814_s89-s90/wfh_scores_overlap.csv,csv:item=='pearson'|value,,,
OA032,derived,appendix_v3.tex,II.3,employers off the diagonal of a median cut on both,14,3_register_mona/exports/2026-09-23_1814_s89-s90/wfh_scores_overlap.csv,a=csv:item=='cell_ai0_wfh1'|value;b=csv:item=='cell_ai1_wfh0'|value;n=csv:item=='n_employers_both_scores'|value,100*(a+b)/n,,
OA033,derived,appendix_v3.tex,"II.4, Table A5","advertisements lost, 2020 to June 2026 ('one in a hundred'), per cent",one,output/results/postings_accounting_extended.csv,r=csv:year=='TOTAL 2020-2026H1'|n_raw;k=csv:year=='TOTAL 2020-2026H1'|n_kept,100*(r-k)/r,,
OA034,number,appendix_v3.tex,II.4,out-of-range 2026 advertisements published in 2025,"2,657",,,,PENDING,"The split of the 2,844 out-of-range 2026 advertisements (Table A4) by date is written by no script; l51 (2_postings) would need to write it"
