label,exhibit,document,section,pack,scripts,exports_or_inputs,mona_scripts,output,status,note
tab:gender_split,Table A23,OA,III.2,4,4_exhibits/15_tab_gender_split.py,3_register_mona/exports/2026-09-23_1352_s87/occ_route_gender_by_track.csv; 3_register_mona/exports/2026-09-23_1352_s87/occ_route_gender_split.csv,87,output/tables/tableA_gender_split.tex,OK,
tab:education_mix,Table A24,OA,III.2,4,4_exhibits/16_tab_education_mix.py,3_register_mona/exports/2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv,87,output/tables/tableA_education_mix.tex,OK,
tab:contrast_by_track,Table A25,OA,III.2,4,4_exhibits/17_tab_contrast_by_track.py,3_register_mona/exports/2026-09-23_1407_s88/occ_route_contrast_by_track.csv,88,output/tables/tableA_contrast_by_track.tex,OK,
tab:occ_mix_by_sex,Table A26,OA,III.2,5,5_occupation_register_public/02_occupation_mix_by_sex.py,data/raw/scb_yreg54bas_ssyk4_age_sex_2024.json; data/raw/daioe_ssyk2012.csv,,output/tables/tableA_occ_mix_by_sex.tex,OK,
fig:prepath,Figure A7,OA,III.2,4,4_exhibits/06_fig_prepath.py,3_register_mona/exports/2026-09-23_1234_s86/occ_route_prepath.csv,86,output/figures/fig_prepath.pdf,OK,script 86's summary reports a failed four-decimal agreement check (fifth decimal); see VERIFICATION.md
tab:prepath,Table A19,OA,III.2,4,4_exhibits/07_tab_prepath.py,3_register_mona/exports/2026-09-23_1234_s86/occ_route_prepath.csv; 3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_drift.csv,"86, 83",output/tables/tableA_prepath.tex,OK,
tab:industry_credit,Table A20,OA,III.2,4,4_exhibits/09_tab_industry_credit.py,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_industry.csv; vcov_s80_indseas2_*.csv; occ_rest_credit.csv,"83 (with 80, 73)",output/tables/tableA_industry_credit.tex,OK,Panel A reports tau (from the exported covariances) and the step
tab:final_checks,Table A21,OA,III.2,4,4_exhibits/23_tab_final_checks.py,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv; payroll_cohorts.csv; 3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,"95, 96, 97",output/tables/tableA_final_checks.tex,OK,
tab:cluster_industry,Table A22,OA,III.2,4,4_exhibits/10_tab_cluster_industry.py,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_cluster.csv,83 (with 80),output/tables/tableA_cluster_industry.tex,OK,
tab:size_reliability,Table A27,OA,III.3,4,4_exhibits/18_tab_score_precision_and_coverage.py,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_size.csv; vcov_s83_size_*.csv; occ_rest_reliability.csv,83,output/tables/tableA_size_reliability.tex,OK,Panel B reports tau (from the exported covariances) and the step
tab:literature,Table A28,OA,III.5,,typed in appendix_v3.tex,,,,OK,published results of other studies; the one number of ours (3.9 per cent) is checked by MANIFEST.csv
tab:public_yreg,Table A29,OA,III.6,5,5_occupation_register_public/01_published_age_gap.py,data/raw/scb_yreg54bas.json; data/raw/daioe_ssyk2012.csv,,output/tables/public_yreg.tex,OK,
tab:iv_coverage,Table A30,OA,IV.1,4,4_exhibits/19_tab_register_coverage.py,3_register_mona/exports/2026-09-18_1640_s40-s47/excluded_counts.csv; vintage_composition.csv; entrant_split_coverage.csv,40,output/tables/tableIV1_coverage.tex,OK,
tab:iv_vintage,Table A31,OA,IV.2,4,4_exhibits/19_tab_register_coverage.py,3_register_mona/exports/2026-09-20_1735_s39-s41/output_41__vintage_es.csv; 3_register_mona/exports/2026-09-18_1640_s40-s47/vintage_composition.csv,"41 (on 39's panel), 40",output/tables/tableIV2_vintage.tex,OK,the lower panel sums script 40's vintage composition to half-years
tab:iv_backtest,Table A32,OA,IV.3,4,4_exhibits/19_tab_register_coverage.py,3_register_mona/exports/2026-09-18_1736_s45/asof_estimates.csv; 3_register_mona/exports/2026-09-22_2327_s82-partC/occ_route_vintage.csv,"45, 82",output/tables/tableIV3_backtest.tex,OK,
tab:iv_backtest_arms,Table A33,OA,IV.3,4,4_exhibits/26_tab_backtest_arms.py,3_register_mona/exports/2026-09-26_1040_s98b/backtest_common.csv; 3_register_mona/exports/2026-09-25_1832_s95-s96-s98/backtest_common.csv,98,output/tables/tableIV4_backtest_arms.tex,OK,
fig:asof_backtest,Figure A8,OA,IV.3,4,4_exhibits/20_fig_backtest.py,3_register_mona/exports/2026-09-18_1736_s45/asof_estimates.csv,45,output/figures/figA1_asof_backtest.pdf,OK,
tab:occ_coverage,Table A34,OA,IV.4,4,4_exhibits/18_tab_score_precision_and_coverage.py,3_register_mona/exports/2026-09-22_2232_s82-partA/occ_route_appendix_coverage.csv; occ_route_coverage.csv,82,output/tables/tableA_occ_coverage.tex,OK,note carries typed 2.5 and 7.4 per cent; see VERIFICATION.md
tab:firm_variants,Table A35,OA,V.2,2,2_postings/14_within_employer.py --variants,config.FIRM_CUBE; config.SCB_BULK,,output/tables/firm_within_variants.tex,OK,inputs outside the package: the employer cube (not shipped) and the business-register bulk file
tab:firm_did,Table A36,OA,V.2,2,2_postings/14_within_employer.py; 2_postings/16_appendix_tables.py,config.FIRM_CUBE; config.SCB_BULK,,output/tables/firm_within_did.tex,OK,as Table A35
tab:firm_het,Table A37,OA,V.2,2,2_postings/15_within_employer_heterogeneity.py; 2_postings/16_appendix_tables.py,config.FIRM_CUBE; config.SCB_BULK,,output/tables/firm_heterogeneity.tex,OK,as Table A35
tab:datasources,Table A38,OA,VI.1,,typed in appendix_v3.tex,,,,OK,descriptive table of sources; no computed number
tab:uncounted,Table A40,OA,VI.1,4,4_exhibits/21_tab_uncounted.py,3_register_mona/exports/2026-09-24_1037_s93/uncounted_share.csv; 93_summary.txt,93 (on 79's counts),output/tables/tableA_uncounted.tex,OK,
tab:unlinked,Table A41,OA,VI.1,4,4_exhibits/24_tab_unlinked.py,3_register_mona/exports/2026-09-26_0827_s100-s101/unlinked_accounting.csv; tipping_point.csv,100,output/tables/tableA_unlinked.tex,OK,the printed file's last row carries -0.0565 where the export rounds to -0.0564; see VERIFICATION.md
tab:nonmatch,Table A42,OA,VI.1,4,4_exhibits/25_tab_nonmatch.py,3_register_mona/exports/2026-09-25_1459_s99/measurement_reconciliation.csv; 99_summary.txt,99,output/tables/tableA_nonmatch.tex,OK,
offline:posting_context,offline appendix,offline,,2,2_postings/18_figures.py,data/raw/indeed_us_aggregate.csv; data/processed/omxs30_monthly.csv; omxspi_monthly.csv; riksbank_monthly.csv,,output/figures/figA_posting_context.pdf,OK,moved from OA II.1 to the offline appendix on 26 September 2026; still built
offline:spreading_monthly,offline appendix,offline,,4,4_exhibits/03_figure3_quarterly_path.py --monthly,3_register_mona/exports/2026-09-23_0917_s84/occ_route_path.csv,84,output/figures/fig2_spreading_monthly_v3.pdf,OK,moved from OA III.2 to the offline appendix on 26 September 2026; still built
offline:firm_entry_es,offline appendix,offline,,2,2_postings/14_within_employer.py; 2_postings/18_figures.py,output/results/firm_within_es.csv,,output/figures/fig3_firm_entry_es.pdf,OK,moved from OA V.2 to the offline appendix on 26 September 2026; still built
claim:payslip_share,text,main,2,3,MANIFEST M011,3_register_mona/exports/2026-09-24_1037_s93/93_summary.txt,93,,OK,98 per cent of 2019 payslips at scored employers
claim:scored_employers,text,"main, OA",2; IV.4,3,"MANIFEST M010, OA282",3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_size.csv,83 (score of 82),,OK,"262,089 employers scored"
claim:code_currency,text,OA,IV.1,3,"MANIFEST OA108, OA109",3_register_mona/exports/2026-09-18_1640_s40-s47/entrant_split_coverage.csv,40,,OK,"99 per cent of incumbents, 93 of entrants, carry a current code"
claim:codes_2020,text,OA,IV.4,3,"MANIFEST OA116, OA117, OA280",3_register_mona/exports/2026-09-22_2232_s82-partA/occ_route_coverage.csv,82,,OK,one 2019 code in fifty (1.94 per cent) observed in 2020
claim:first_stage,text,main,2,3,MANIFEST M016,3_register_mona/exports/2026-09-22_2333_s83-partA/occ_rest_firststage.csv,83,,OK,20.9 percentage points
claim:age_profile_tau,text,"main, OA",3; III.2,3,"MANIFEST M061 to M070, OA192 to OA203",3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,95,,OK,the profile on tau; the reference restricted to 31-59 and 31-49 (87 and 80 per cent)
claim:sexes_tau,text,"main, OA",3; III.2,3,"MANIFEST M071 to M075, OA204 to OA218",3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,97,,OK,young men -0.006; the differential's drift and industry test; 65 per cent retained
claim:industry_retained,text,"main, OA",3; III.2,3,"MANIFEST M078, M079, OA220 to OA223",3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_industry.csv; vcov_s80_indseas2_*.csv,83 (with 80),,OK,72 and 27 per cent of tau retained
claim:credit_tau,text,"main, OA",3; III.2,3,"MANIFEST M080, OA226 to OA233",3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,97,,OK,the leverage terms move tau by 0.001
claim:payroll_cohorts,text,OA,III.2,3,"MANIFEST OA234 to OA237",3_register_mona/exports/2026-09-25_1832_s95-s96-s98/payroll_cohorts.csv,96,,OK,fixed birth cohorts
claim:payroll_split,text,OA,III.2,3,"MANIFEST OA096 to OA099",3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_youth_payroll.csv,92,,OK,tau at 22-23 and 24-25
claim:exposure_specification,text,"main, OA",3; III.2,3,"MANIFEST M082, OA238 to OA246",3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,97,,OK,about one per cent per standard deviation; quartiles against the first
claim:size_tau,text,"main, OA",3; III.3,3,"MANIFEST M083, M084, OA247 to OA252",3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_size.csv; vcov_s83_size_*.csv,83,,OK,tau by floor and incumbent count
claim:boundary,text,"main, OA",3; III.2,3,MANIFEST M049 and OA rows,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_dating.csv,91,,OK,boundary July 2023 to July 2024 moves the estimate by at most 0.002
claim:flows,text,main,3,3,MANIFEST M057 to M059,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_flows.csv,82,,OK,separations +5.5 per cent; hires -9 to +6 per cent
claim:telework_employer,text,"main, OA",3; II.3,3,"MANIFEST OA031, OA032",3_register_mona/exports/2026-09-23_1814_s89-s90/wfh_scores_overlap.csv,89,,OK,the two firm scores correlate at 0.88; 14 per cent off the diagonal
claim:remote_measures,text,"main, OA",3; II.3,2,"MANIFEST OA157 to OA184",2_postings/extensions/results/*.csv,,,OK,the horse races with realised remote work; two hand-read validation figures pending
claim:telework_continuous,text,"main, OA",3; III.2,3,MANIFEST OA075 to OA078,3_register_mona/exports/2026-09-20_2148_s61-s63/output_63__horserace.csv,63,,OK,oldest band's gain at least as large on teleworkability
claim:measurement,text,OA,IV.1; VI.1,3,"MANIFEST OA253 to OA264, OA283 to OA285",3_register_mona/exports/2026-09-25_1459_s99/measurement_estimates.csv; measurement_reconciliation.csv,99,,OK,non-match by age; tau by presence in November 2022; the rebuilt tau to six decimals
claim:backtest_arms,text,OA,IV.3,3,"MANIFEST OA266 to OA273",3_register_mona/exports/2026-09-26_1040_s98b/backtest_common.csv,98,,OK,sample inclusion against re-coding
claim:submitted_design,text,OA,IV.3,3,"MANIFEST OA111, OA273",3_register_mona/exports/2026-09-20_1735_s39-s41/output_39__canary_gate_results.csv,39,,OK,own-occupation design returns about -0.17 (Poisson) and -0.010 (OLS)
claim:count_provenance,text,OA,VI.1,3,"MANIFEST OA286 to OA294",3_register_mona/exports/2026-09-26_0827_s100-s101/provenance.csv,101,,OK,the 657 cells and the two-sex persons
claim:unlinked,text,OA,VI.1,3,"MANIFEST OA295 to OA311",3_register_mona/exports/2026-09-26_0827_s100-s101/unlinked_accounting.csv; tipping_point.csv,100,,OK,the tipping point and the extremal allocations
claim:in_population_coverage,text,OA,VI.1,3,MANIFEST OA150 to OA153,3_register_mona/exports/2026-09-18_1716_s49/match_rate_definitions.csv,49,,OK,99.2 to 99.9 per cent inside the estimation population
claim:month_of_year,text,"main, OA",3; III.2,3,"4_exhibits/23_tab_final_checks.py; MANIFEST OA311 to OA316 and M085",3_register_mona/exports/2026-09-26_1208_s102/month_of_year.csv,102,output/tables/tableA_final_checks.tex,OK,tau and the female differential with eleven month-of-year terms in place of the three quarter terms (Table A21 Panel G); the paper quotes the movement of tau (0.002)
claim:measure_agreement,text,OA,I,5,"5_occupation_register_public/03_exposure_measure_agreement.py; MANIFEST OA317 to OA320","3_register_mona/inputs/daioe_quartiles.dta; 3_register_mona/inputs/eloundou_ssyk4.dta; data/raw/scb_yreg54bas_ssyk4_age_sex_2024.json; 3_register_mona/exports/2026-09-20_2148_s61-s63/output_63__measure_correlation.csv",63,output/results/exposure_measure_agreement.csv,OK,DAIOE and the Eloundou score: correlation 0.87 across 393 occupations (the register run's own number) and employment-weighted agreement on the top-quartile cut from the published occupational register
claim:eloundou_classification,text,"main, OA, letter",3; III.2; I,3,"4_exhibits/23_tab_final_checks.py; MANIFEST OA325 to OA336 and M086 to M087",3_register_mona/exports/2026-09-26_1527_s103/eloundou_classification.csv; 3_register_mona/exports/2026-09-26_1527_s103/classification_agreement.csv,103,output/tables/tableA_final_checks.tex,OK,the headline design with employers classified by the Eloundou rating (Table A21 Panel H): female differential and 26-30 unchanged; tau at 22-25 -0.024 (0.019) against -0.039 (0.010) on the same employers; top quartiles 92.5 per cent coincident
tab:payment_rule,Table A39,OA,VI.1,4,4_exhibits/28_tab_payment_rule.py,3_register_mona/exports/2026-09-26_1909_s104/payment_rule.csv; payment_rule_2019_incumbents.csv; 104_summary.txt,104,output/tables/tableA_payment_rule.tex,OK,every printed share and count is checked against 104_summary.txt before the file is written
