year,age_group,q_true,q_asof,n_emp
2023,26-30,0,4,19211
2023,26-30,1,0,121544
2023,26-30,1,1,1052596
2023,26-30,1,2,172968
2023,26-30,1,3,27277
2023,26-30,1,4,18902
2023,26-30,2,0,138538
2023,26-30,2,1,209886
2023,26-30,2,2,1788560
2023,26-30,2,3,74160
2023,26-30,2,4,52579
2023,26-30,3,0,66841
2023,26-30,3,1,83214
2023,26-30,3,2,182622
2023,26-30,3,3,556773
2023,26-30,3,4,97040
2023,26-30,4,0,161917
2023,26-30,4,1,101530
2023,26-30,4,2,243873
2023,26-30,4,3,142556
2023,26-30,4,4,1079880
2023,31-34,0,0,214179
2023,31-34,0,1,47784
2023,31-34,0,2,56826
2023,31-34,0,3,21862
2023,31-34,0,4,26690
2023,31-34,1,0,89908
2023,31-34,1,1,992931
2023,31-34,1,2,127352
2023,31-34,1,3,22407
2023,31-34,1,4,14449
2023,31-34,2,0,97822
2023,31-34,2,1,157031
2023,31-34,2,2,1574685
2023,31-34,2,3,64219
2023,31-34,2,4,47284
2023,31-34,3,0,39608
2023,31-34,3,1,54849
2023,31-34,3,2,135328
2023,31-34,3,3,754583
2023,31-34,3,4,114146
2023,31-34,4,0,106278
2023,31-34,4,1,51049
2023,31-34,4,2,142110
2023,31-34,4,3,139799
2023,31-34,4,4,1445316
2023,35-40,0,0,276568
2023,35-40,0,1,58215
2023,35-40,0,2,67392
2023,35-40,0,3,34530
2023,35-40,0,4,49950
2023,35-40,1,0,118720
2023,35-40,1,1,1321234
2023,35-40,1,2,145194
2023,35-40,1,3,28790
2023,35-40,1,4,17738
2023,35-40,2,0,118277
2023,35-40,2,1,182047
2023,35-40,2,2,2093383
2023,35-40,2,3,86866
2023,35-40,2,4,60436
2023,35-40,3,0,45173
2023,35-40,3,1,59430
2023,35-40,3,2,153219
2023,35-40,3,3,1224955
2023,35-40,3,4,171599
2023,35-40,4,0,108762
2023,35-40,4,1,47665
2023,35-40,4,2,137453
2023,35-40,4,3,195093
2023,35-40,4,4,2162359
2023,41-49,0,0,356478
2023,41-49,0,1,76382
2023,41-49,0,2,88316
2023,41-49,0,3,64670
2023,41-49,0,4,91890
2023,41-49,1,0,138637
2023,41-49,1,1,1886376
2023,41-49,1,2,176836
2023,41-49,1,3,40471
2023,41-49,1,4,24386
2023,41-49,2,0,119023
2023,41-49,2,1,200868
2023,41-49,2,2,2849222
2023,41-49,2,3,118029
2023,41-49,2,4,82629
2023,41-49,3,0,44956
2023,41-49,3,1,64361
2023,41-49,3,2,168829
2023,41-49,3,3,2063574
2023,41-49,3,4,262629
2023,41-49,4,0,81118
2023,41-49,4,1,43452
2023,41-49,4,2,135156
2023,41-49,4,3,269665
2023,41-49,4,4,3402462
2023,50+,0,0,813969
2023,50+,0,1,335207
2023,50+,0,2,500152
2023,50+,0,3,478903
2023,50+,0,4,634192
2023,50+,1,0,128246
2023,50+,1,1,4067242
2023,50+,1,2,254922
2023,50+,1,3,79995
2023,50+,1,4,57094
2023,50+,2,0,103466
2023,50+,2,1,281269
2023,50+,2,2,5536075
2023,50+,2,3,197958
2023,50+,2,4,133847
2023,50+,3,0,62788
2023,50+,3,1,82293
2023,50+,3,2,207259
2023,50+,3,3,3928887
2023,50+,3,4,336873
2023,50+,4,0,70657
2023,50+,4,1,51287
2023,50+,4,2,147062
2023,50+,4,3,358773
2023,50+,4,4,5646575
