young_band,shape,period,coef,se,status
22-25,month,2024-12,-0.0798982290704212,0.0164117245022687,ok
22-25,month,2025-01,-0.0195798799441306,0.0236075511143298,ok
22-25,month,2025-02,0.0208208263323045,0.0297166161093435,ok
22-25,month,2025-03,-0.0193789100695446,0.0228447556432035,ok
22-25,month,2025-04,-0.0175335222686314,0.0206879951580914,ok
22-25,month,2025-05,-0.0369275619026859,0.0203602039309336,ok
22-25,month,2025-06,-0.10027886520236,0.0403066810689949,ok
26-30,year,2023,-0.0055306371657379,0.0060302505211954,ok
26-30,year,2024,-0.025376779247278,0.009440961052143,ok
26-30,year,2025,-0.076255349705455,0.0138613208699077,ok
26-30,quarter,2022Q4,0.0081443713934496,0.0024837510536482,ok
26-30,quarter,2023Q1,-0.0014656418185556,0.005299459204284,ok
26-30,quarter,2023Q2,0.0008132432999221,0.0061639935119227,ok
26-30,quarter,2023Q3,-0.0050448064282093,0.0064945346017539,ok
26-30,quarter,2023Q4,-0.0122052127841096,0.006936394456863,ok
26-30,quarter,2024Q1,-0.0162963496166104,0.0084832803969782,ok
26-30,quarter,2024Q2,-0.015359344926736,0.0095881911324097,ok
26-30,quarter,2024Q3,-0.0291670470945837,0.0097851871134679,ok
26-30,quarter,2024Q4,-0.0364849461522706,0.0102755349058231,ok
26-30,quarter,2025Q1,-0.0644850198831808,0.0126411374711327,ok
26-30,quarter,2025Q2,-0.0793565670354393,0.0156111808997667,ok
26-30,month,2022-12,0.0031020421234477,0.0031249795668802,ok
26-30,month,2023-01,0.0018507915575534,0.0054815563135121,ok
26-30,month,2023-02,-0.00131455792996,0.0057463668088032,ok
26-30,month,2023-03,-0.0068045210774892,0.0055709592762409,ok
26-30,month,2023-04,0.0026128289996529,0.0062529249483728,ok
26-30,month,2023-05,0.0044988726798824,0.0073680756026816,ok
26-30,month,2023-06,-0.0053899814612892,0.0062695556122204,ok
26-30,month,2023-07,-0.005083013254973,0.0065119520106013,ok
26-30,month,2023-08,-0.0049107428568272,0.0066850657490315,ok
26-30,month,2023-09,-0.0058505716014303,0.0067437760721553,ok
26-30,month,2023-10,-0.0125633076946158,0.0067612461845511,ok
26-30,month,2023-11,-0.0167649938526824,0.0076750922845135,ok
26-30,month,2023-12,-0.0106852173793027,0.0074409989372227,ok
26-30,month,2024-01,-0.0129286760162655,0.0086590852165808,ok
26-30,month,2024-02,-0.0156225356947158,0.0089028084418068,ok
26-30,month,2024-03,-0.0221969580479603,0.0087178642511631,ok
26-30,month,2024-04,-0.0107366885656227,0.0097203068865118,ok
26-30,month,2024-05,-0.0115706511301588,0.0102989518684018,ok
26-30,month,2024-06,-0.0243762045207812,0.0096143750239984,ok
26-30,month,2024-07,-0.0247634843176658,0.0099164597741066,ok
26-30,month,2024-08,-0.0300228752064385,0.0099082972371818,ok
26-30,month,2024-09,-0.0333823892661304,0.0098442909470715,ok
26-30,month,2024-10,-0.0366947181377713,0.010342590432871,ok
26-30,month,2024-11,-0.0385304995213743,0.0105488317958366,ok
26-30,month,2024-12,-0.0375928881484268,0.0106166289093034,ok
26-30,month,2025-01,-0.0643670983482463,0.0128496039679122,ok
26-30,month,2025-02,-0.0602255941983443,0.0132901920118158,ok
26-30,month,2025-03,-0.0706396923972605,0.012763534947954,ok
26-30,month,2025-04,-0.0625073377500664,0.0131549088020991,ok
26-30,month,2025-05,-0.0642611658267139,0.013431503270644,ok
26-30,month,2025-06,-0.110824129460611,0.0292123681004653,ok
