ssyk4,ssyk_label,age_group,year,n_employed,pctl_rank_genai,exposure_quartile,high_exposure,young,young_broad
1112,Senior government officials,55-59 years,2023,260,62.529999,Q3,0,0,0
1112,Senior government officials,55-59 years,2024,237,62.529999,Q3,0,0,0
1112,Senior government officials,60-64 years,2020,341,62.529999,Q3,0,0,0
1112,Senior government officials,60-64 years,2021,314,62.529999,Q3,0,0,0
1112,Senior government officials,60-64 years,2022,329,62.529999,Q3,0,0,0
1112,Senior government officials,60-64 years,2023,246,62.529999,Q3,0,0,0
1112,Senior government officials,60-64 years,2024,255,62.529999,Q3,0,0,0
1112,Senior government officials,65-69 years,2023,105,62.529999,Q3,0,0,0
1112,Senior government officials,65-69 years,2024,138,62.529999,Q3,0,0,0
1113,Senior officials of special-interest organisations,16-24 years,2020,20,70.57,Q3,0,1,1
1113,Senior officials of special-interest organisations,16-24 years,2021,10,70.57,Q3,0,1,1
1113,Senior officials of special-interest organisations,16-24 years,2022,18,70.57,Q3,0,1,1
1113,Senior officials of special-interest organisations,16-24 years,2023,8,70.57,Q3,0,1,1
1113,Senior officials of special-interest organisations,16-24 years,2024,28,70.57,Q3,0,1,1
1113,Senior officials of special-interest organisations,25-29 years,2020,32,70.57,Q3,0,0,1
1113,Senior officials of special-interest organisations,25-29 years,2021,39,70.57,Q3,0,0,1
1113,Senior officials of special-interest organisations,25-29 years,2022,44,70.57,Q3,0,0,1
1113,Senior officials of special-interest organisations,25-29 years,2023,34,70.57,Q3,0,0,1
1113,Senior officials of special-interest organisations,25-29 years,2024,43,70.57,Q3,0,0,1
1113,Senior officials of special-interest organisations,30-34 years,2020,44,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,30-34 years,2021,48,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,30-34 years,2022,51,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,30-34 years,2023,41,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,30-34 years,2024,58,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,35-39 years,2020,74,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,35-39 years,2021,74,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,35-39 years,2022,67,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,35-39 years,2023,65,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,35-39 years,2024,73,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,40-44 years,2020,112,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,40-44 years,2021,115,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,40-44 years,2022,109,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,40-44 years,2023,118,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,40-44 years,2024,124,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,45-49 years,2020,171,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,45-49 years,2021,138,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,45-49 years,2022,150,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,45-49 years,2023,141,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,45-49 years,2024,170,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,50-54 years,2020,189,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,50-54 years,2021,205,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,50-54 years,2022,169,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,50-54 years,2023,169,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,50-54 years,2024,190,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,55-59 years,2020,199,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,55-59 years,2021,205,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,55-59 years,2022,206,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,55-59 years,2023,200,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,55-59 years,2024,225,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,60-64 years,2020,144,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,60-64 years,2021,125,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,60-64 years,2022,142,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,60-64 years,2023,138,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,60-64 years,2024,173,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,65-69 years,2023,60,70.57,Q3,0,0,0
1113,Senior officials of special-interest organisations,65-69 years,2024,92,70.57,Q3,0,0,0
1120,Directors and chief executives,16-24 years,2020,22,64.889999,Q3,0,1,1
1120,Directors and chief executives,16-24 years,2021,32,64.889999,Q3,0,1,1
1120,Directors and chief executives,16-24 years,2022,29,64.889999,Q3,0,1,1
1120,Directors and chief executives,16-24 years,2023,37,64.889999,Q3,0,1,1
1120,Directors and chief executives,16-24 years,2024,249,64.889999,Q3,0,1,1
1120,Directors and chief executives,25-29 years,2020,200,64.889999,Q3,0,0,1
1120,Directors and chief executives,25-29 years,2021,225,64.889999,Q3,0,0,1
1120,Directors and chief executives,25-29 years,2022,208,64.889999,Q3,0,0,1
1120,Directors and chief executives,25-29 years,2023,197,64.889999,Q3,0,0,1
1120,Directors and chief executives,25-29 years,2024,293,64.889999,Q3,0,0,1
1120,Directors and chief executives,30-34 years,2020,690,64.889999,Q3,0,0,0
1120,Directors and chief executives,30-34 years,2021,796,64.889999,Q3,0,0,0
1120,Directors and chief executives,30-34 years,2022,818,64.889999,Q3,0,0,0
1120,Directors and chief executives,30-34 years,2023,874,64.889999,Q3,0,0,0
1120,Directors and chief executives,30-34 years,2024,919,64.889999,Q3,0,0,0
1120,Directors and chief executives,35-39 years,2020,1475,64.889999,Q3,0,0,0
1120,Directors and chief executives,35-39 years,2021,1548,64.889999,Q3,0,0,0
1120,Directors and chief executives,35-39 years,2022,1470,64.889999,Q3,0,0,0
1120,Directors and chief executives,35-39 years,2023,1541,64.889999,Q3,0,0,0
1120,Directors and chief executives,35-39 years,2024,1795,64.889999,Q3,0,0,0
1120,Directors and chief executives,40-44 years,2020,2631,64.889999,Q3,0,0,0
1120,Directors and chief executives,40-44 years,2021,2676,64.889999,Q3,0,0,0
1120,Directors and chief executives,40-44 years,2022,2628,64.889999,Q3,0,0,0
1120,Directors and chief executives,40-44 years,2023,2621,64.889999,Q3,0,0,0
1120,Directors and chief executives,40-44 years,2024,2719,64.889999,Q3,0,0,0
1120,Directors and chief executives,45-49 years,2020,4028,64.889999,Q3,0,0,0
1120,Directors and chief executives,45-49 years,2021,4011,64.889999,Q3,0,0,0
1120,Directors and chief executives,45-49 years,2022,3817,64.889999,Q3,0,0,0
1120,Directors and chief executives,45-49 years,2023,3588,64.889999,Q3,0,0,0
1120,Directors and chief executives,45-49 years,2024,3712,64.889999,Q3,0,0,0
1120,Directors and chief executives,50-54 years,2020,4502,64.889999,Q3,0,0,0
1120,Directors and chief executives,50-54 years,2021,4667,64.889999,Q3,0,0,0
1120,Directors and chief executives,50-54 years,2022,4695,64.889999,Q3,0,0,0
1120,Directors and chief executives,50-54 years,2023,4430,64.889999,Q3,0,0,0
1120,Directors and chief executives,50-54 years,2024,4911,64.889999,Q3,0,0,0
1120,Directors and chief executives,55-59 years,2020,3976,64.889999,Q3,0,0,0
1120,Directors and chief executives,55-59 years,2021,4224,64.889999,Q3,0,0,0
1120,Directors and chief executives,55-59 years,2022,4514,64.889999,Q3,0,0,0
1120,Directors and chief executives,55-59 years,2023,4141,64.889999,Q3,0,0,0
1120,Directors and chief executives,55-59 years,2024,4615,64.889999,Q3,0,0,0
1120,Directors and chief executives,60-64 years,2020,2228,64.889999,Q3,0,0,0
1120,Directors and chief executives,60-64 years,2021,2415,64.889999,Q3,0,0,0
1120,Directors and chief executives,60-64 years,2022,2565,64.889999,Q3,0,0,0
1120,Directors and chief executives,60-64 years,2023,2330,64.889999,Q3,0,0,0
1120,Directors and chief executives,60-64 years,2024,2919,64.889999,Q3,0,0,0
1120,Directors and chief executives,65-69 years,2023,736,64.889999,Q3,0,0,0
1120,Directors and chief executives,65-69 years,2024,1119,64.889999,Q3,0,0,0
1211,"Finance managers, level 1",16-24 years,2020,12,86.169998,Q4 (highest),1,1,1
1211,"Finance managers, level 1",16-24 years,2021,17,86.169998,Q4 (highest),1,1,1
1211,"Finance managers, level 1",16-24 years,2022,6,86.169998,Q4 (highest),1,1,1
1211,"Finance managers, level 1",16-24 years,2023,15,86.169998,Q4 (highest),1,1,1
1211,"Finance managers, level 1",16-24 years,2024,30,86.169998,Q4 (highest),1,1,1
1211,"Finance managers, level 1",25-29 years,2020,105,86.169998,Q4 (highest),1,0,1
1211,"Finance managers, level 1",25-29 years,2021,118,86.169998,Q4 (highest),1,0,1
1211,"Finance managers, level 1",25-29 years,2022,92,86.169998,Q4 (highest),1,0,1
1211,"Finance managers, level 1",25-29 years,2023,105,86.169998,Q4 (highest),1,0,1
1211,"Finance managers, level 1",25-29 years,2024,110,86.169998,Q4 (highest),1,0,1
1211,"Finance managers, level 1",30-34 years,2020,288,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",30-34 years,2021,329,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",30-34 years,2022,364,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",30-34 years,2023,361,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",30-34 years,2024,390,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",35-39 years,2020,602,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",35-39 years,2021,601,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",35-39 years,2022,626,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",35-39 years,2023,663,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",35-39 years,2024,700,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",40-44 years,2020,953,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",40-44 years,2021,959,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",40-44 years,2022,946,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",40-44 years,2023,970,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",40-44 years,2024,990,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",45-49 years,2020,1264,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",45-49 years,2021,1244,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",45-49 years,2022,1302,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",45-49 years,2023,1208,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",45-49 years,2024,1234,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",50-54 years,2020,1447,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",50-54 years,2021,1420,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",50-54 years,2022,1404,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",50-54 years,2023,1397,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",50-54 years,2024,1488,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",55-59 years,2020,1196,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",55-59 years,2021,1310,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",55-59 years,2022,1405,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",55-59 years,2023,1427,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",55-59 years,2024,1465,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",60-64 years,2020,582,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",60-64 years,2021,615,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",60-64 years,2022,677,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",60-64 years,2023,698,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",60-64 years,2024,843,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",65-69 years,2023,150,86.169998,Q4 (highest),1,0,0
1211,"Finance managers, level 1",65-69 years,2024,208,86.169998,Q4 (highest),1,0,0
1212,"Finance managers, level 2",16-24 years,2020,27,85.93,Q4 (highest),1,1,1
1212,"Finance managers, level 2",16-24 years,2021,36,85.93,Q4 (highest),1,1,1
1212,"Finance managers, level 2",16-24 years,2022,42,85.93,Q4 (highest),1,1,1
1212,"Finance managers, level 2",16-24 years,2023,29,85.93,Q4 (highest),1,1,1
1212,"Finance managers, level 2",16-24 years,2024,98,85.93,Q4 (highest),1,1,1
1212,"Finance managers, level 2",25-29 years,2020,240,85.93,Q4 (highest),1,0,1
1212,"Finance managers, level 2",25-29 years,2021,230,85.93,Q4 (highest),1,0,1
1212,"Finance managers, level 2",25-29 years,2022,221,85.93,Q4 (highest),1,0,1
1212,"Finance managers, level 2",25-29 years,2023,217,85.93,Q4 (highest),1,0,1
1212,"Finance managers, level 2",25-29 years,2024,219,85.93,Q4 (highest),1,0,1
1212,"Finance managers, level 2",30-34 years,2020,732,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",30-34 years,2021,789,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",30-34 years,2022,773,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",30-34 years,2023,786,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",30-34 years,2024,811,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",35-39 years,2020,1310,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",35-39 years,2021,1309,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",35-39 years,2022,1280,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",35-39 years,2023,1351,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",35-39 years,2024,1439,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",40-44 years,2020,1799,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",40-44 years,2021,1876,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",40-44 years,2022,1890,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",40-44 years,2023,1890,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",40-44 years,2024,1910,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",45-49 years,2020,2223,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",45-49 years,2021,2212,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",45-49 years,2022,2100,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",45-49 years,2023,2139,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",45-49 years,2024,2206,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",50-54 years,2020,2420,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",50-54 years,2021,2408,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",50-54 years,2022,2384,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",50-54 years,2023,2369,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",50-54 years,2024,2537,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",55-59 years,2020,2120,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",55-59 years,2021,2331,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",55-59 years,2022,2457,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",55-59 years,2023,2532,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",55-59 years,2024,2501,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",60-64 years,2020,1239,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",60-64 years,2021,1312,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",60-64 years,2022,1401,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",60-64 years,2023,1483,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",60-64 years,2024,1727,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",65-69 years,2023,408,85.93,Q4 (highest),1,0,0
1212,"Finance managers, level 2",65-69 years,2024,554,85.93,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",16-24 years,2020,6,78.610001,Q4 (highest),1,1,1
1221,"Human resource managers, level 1",16-24 years,2021,8,78.610001,Q4 (highest),1,1,1
1221,"Human resource managers, level 1",16-24 years,2022,12,78.610001,Q4 (highest),1,1,1
1221,"Human resource managers, level 1",16-24 years,2023,9,78.610001,Q4 (highest),1,1,1
1221,"Human resource managers, level 1",16-24 years,2024,26,78.610001,Q4 (highest),1,1,1
1221,"Human resource managers, level 1",25-29 years,2020,78,78.610001,Q4 (highest),1,0,1
1221,"Human resource managers, level 1",25-29 years,2021,92,78.610001,Q4 (highest),1,0,1
1221,"Human resource managers, level 1",25-29 years,2022,88,78.610001,Q4 (highest),1,0,1
1221,"Human resource managers, level 1",25-29 years,2023,97,78.610001,Q4 (highest),1,0,1
1221,"Human resource managers, level 1",25-29 years,2024,95,78.610001,Q4 (highest),1,0,1
1221,"Human resource managers, level 1",30-34 years,2020,239,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",30-34 years,2021,240,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",30-34 years,2022,256,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",30-34 years,2023,268,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",30-34 years,2024,280,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",35-39 years,2020,386,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",35-39 years,2021,350,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",35-39 years,2022,388,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",35-39 years,2023,402,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",35-39 years,2024,446,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",40-44 years,2020,513,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",40-44 years,2021,540,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",40-44 years,2022,569,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",40-44 years,2023,549,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",40-44 years,2024,616,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",45-49 years,2020,708,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",45-49 years,2021,689,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",45-49 years,2022,702,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",45-49 years,2023,671,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",45-49 years,2024,764,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",50-54 years,2020,711,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",50-54 years,2021,732,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",50-54 years,2022,761,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",50-54 years,2023,767,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",50-54 years,2024,819,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",55-59 years,2020,543,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",55-59 years,2021,556,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",55-59 years,2022,605,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",55-59 years,2023,609,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",55-59 years,2024,728,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",60-64 years,2020,287,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",60-64 years,2021,316,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",60-64 years,2022,324,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",60-64 years,2023,354,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",60-64 years,2024,411,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",65-69 years,2023,70,78.610001,Q4 (highest),1,0,0
1221,"Human resource managers, level 1",65-69 years,2024,92,78.610001,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",16-24 years,2020,28,78.839996,Q4 (highest),1,1,1
1222,"Human resource managers, level 2",16-24 years,2021,31,78.839996,Q4 (highest),1,1,1
1222,"Human resource managers, level 2",16-24 years,2022,33,78.839996,Q4 (highest),1,1,1
1222,"Human resource managers, level 2",16-24 years,2023,26,78.839996,Q4 (highest),1,1,1
1222,"Human resource managers, level 2",16-24 years,2024,96,78.839996,Q4 (highest),1,1,1
1222,"Human resource managers, level 2",25-29 years,2020,223,78.839996,Q4 (highest),1,0,1
1222,"Human resource managers, level 2",25-29 years,2021,201,78.839996,Q4 (highest),1,0,1
1222,"Human resource managers, level 2",25-29 years,2022,208,78.839996,Q4 (highest),1,0,1
1222,"Human resource managers, level 2",25-29 years,2023,190,78.839996,Q4 (highest),1,0,1
1222,"Human resource managers, level 2",25-29 years,2024,204,78.839996,Q4 (highest),1,0,1
1222,"Human resource managers, level 2",30-34 years,2020,497,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",30-34 years,2021,560,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",30-34 years,2022,570,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",30-34 years,2023,555,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",30-34 years,2024,593,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",35-39 years,2020,765,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",35-39 years,2021,784,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",35-39 years,2022,779,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",35-39 years,2023,841,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",35-39 years,2024,911,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",40-44 years,2020,961,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",40-44 years,2021,1020,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",40-44 years,2022,1051,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",40-44 years,2023,1049,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",40-44 years,2024,1034,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",45-49 years,2020,1112,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",45-49 years,2021,1178,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",45-49 years,2022,1222,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",45-49 years,2023,1149,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",45-49 years,2024,1210,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",50-54 years,2020,1029,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",50-54 years,2021,1056,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",50-54 years,2022,1102,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",50-54 years,2023,1118,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",50-54 years,2024,1173,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",55-59 years,2020,795,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",55-59 years,2021,916,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",55-59 years,2022,989,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",55-59 years,2023,993,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",55-59 years,2024,1041,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",60-64 years,2020,447,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",60-64 years,2021,482,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",60-64 years,2022,530,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",60-64 years,2023,535,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",60-64 years,2024,651,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",65-69 years,2023,129,78.839996,Q4 (highest),1,0,0
1222,"Human resource managers, level 2",65-69 years,2024,163,78.839996,Q4 (highest),1,0,0
1230,Administration and planning managers,16-24 years,2020,22,66.779999,Q3,0,1,1
1230,Administration and planning managers,16-24 years,2021,22,66.779999,Q3,0,1,1
1230,Administration and planning managers,16-24 years,2022,23,66.779999,Q3,0,1,1
