design,scenario,registers,seed,age_group,gamma_struct,gamma_oracle,gamma_prod,bias,artefact_T2021,artefact_T2022,gen_s
fresh_stock,null,base,1,26-30,0.0,0.0063273758791091,-0.0686031060516725,-0.0749304819307816,-0.0929739782755972,-0.07142946679715899,33.3
fresh_stock,null,base,1,50+,0.0,0.0217072210589459,0.130542020285808,0.1088347992268621,0.0,0.0,33.3
entrant,null,base,1,22-25,0.0,-0.0202503006493369,-0.17184305113752,-0.1515927504881831,-0.39141563080489783,-0.2903138995295428,33.3
entrant,null,base,1,26-30,0.0,0.0063273758791091,-0.0686031060516725,-0.0749304819307816,-0.0929739782755972,-0.07142946679715899,33.3
entrant,null,base,1,50+,0.0,0.0217072210589459,0.130542020285808,0.1088347992268621,0.0,0.0,33.3
entrant_share,null,base,1,22-25,0.0,-0.0202503006493369,-0.109875289359145,-0.0896249887098081,-0.26293186507733957,-0.2037406213893226,33.3
entrant_share,null,base,1,26-30,0.0,0.0063273758791091,-0.0648981993024575,-0.0712255751815666,-0.0803089630763332,-0.0623197543111393,33.3
entrant_share,null,base,1,50+,0.0,0.0217072210589459,0.105330423564603,0.0836232025056571,0.0,0.0,33.3
expband,null,base,1,22-25,0.0,-0.0202503006493369,-0.228455156054395,-0.20820485540505812,-0.5903179199616357,-0.3927756412651188,33.3
expband,null,base,1,26-30,0.0,0.0063273758791091,-0.0817953265768617,-0.0881227024559708,-0.11238360525005729,-0.0850425051698691,33.3
expband,null,base,1,50+,0.0,0.0217072210589459,0.151996251412058,0.1302890303531121,0.0,0.0,33.3
enrol,null,base,1,22-25,0.0,-0.0202503006493369,-0.17184305113752,-0.1515927504881831,-0.3477759221980688,-0.2766254992957688,33.3
enrol,null,base,1,26-30,0.0,0.0063273758791091,-0.0686031060516725,-0.0749304819307816,-0.08251039613043809,-0.06670833240289649,33.3
enrol,null,base,1,50+,0.0,0.0217072210589459,0.130542020285808,0.1088347992268621,0.0,0.0,33.3
full,null,base,1,22-25,0.0,-0.0202503006493369,-0.109875289359145,-0.0896249887098081,-0.2327540345964016,-0.19364781812576962,33.3
full,null,base,1,26-30,0.0,0.0063273758791091,-0.0648981993024575,-0.0712255751815666,-0.0703482622471398,-0.057975073779390394,33.3
full,null,base,1,50+,0.0,0.0217072210589459,0.105330423564603,0.0836232025056571,0.0,0.0,33.3
OL_exact,null,base,2,22-25,0.0,0.010478732382255,-0.174285566424081,-0.184764298806336,-0.3472556099861002,-0.2591730399469762,31.1
OL_exact,null,base,2,26-30,0.0,0.0200735023828645,-0.044829879874121,-0.0649033822569855,-0.0974702082289202,-0.0781169493683938,31.1
OL_exact,null,base,2,50+,0.0,0.0001204416531352,0.113130899173484,0.1130104575203488,0.0,0.0,31.1
OL_daioe,null,base,2,22-25,0.0,0.010478732382255,-0.21657066355298,-0.227049395935235,-0.4975875052100474,-0.3386727818044314,31.1
OL_daioe,null,base,2,26-30,0.0,0.0200735023828645,-0.0464670587291368,-0.0665405611120013,-0.1286709830822995,-0.0981535467369202,31.1
OL_daioe,null,base,2,50+,0.0,0.0001204416531352,0.154126209972781,0.1540057683196458,0.0,0.0,31.1
fresh_stock,null,base,2,22-25,0.0,0.010478732382255,-0.21657066355298,-0.227049395935235,-0.4975875052100474,-0.3386727818044314,31.1
fresh_stock,null,base,2,26-30,0.0,0.0200735023828645,-0.0464670587291368,-0.0665405611120013,-0.1286709830822995,-0.0981535467369202,31.1
fresh_stock,null,base,2,50+,0.0,0.0001204416531352,0.154126209972781,0.1540057683196458,0.0,0.0,31.1
entrant,null,base,2,22-25,0.0,0.010478732382255,-0.21657066355298,-0.227049395935235,-0.4975875052100474,-0.3386727818044314,31.1
entrant,null,base,2,26-30,0.0,0.0200735023828645,-0.0464670587291368,-0.0665405611120013,-0.1286709830822995,-0.0981535467369202,31.1
entrant,null,base,2,50+,0.0,0.0001204416531352,0.154126209972781,0.1540057683196458,0.0,0.0,31.1
entrant_share,null,base,2,22-25,0.0,0.010478732382255,-0.137785259276058,-0.148263991658313,-0.228663664622119,-0.191611897444377,31.1
entrant_share,null,base,2,26-30,0.0,0.0200735023828645,-0.035644889735869,-0.0557183921187335,-0.0786795566456312,-0.0591102428184298,31.1
entrant_share,null,base,2,50+,0.0,0.0001204416531352,0.0887394918886721,0.0886190502355369,0.0,0.0,31.1
expband,null,base,2,22-25,0.0,0.010478732382255,-0.217291668200477,-0.22777040058273199,-0.4992360615259914,-0.3403197681620914,31.1
expband,null,base,2,26-30,0.0,0.0200735023828645,-0.0365756294275898,-0.056649131810454306,-0.1329472165601473,-0.10180887740296929,31.1
expband,null,base,2,50+,0.0,0.0001204416531352,0.153142254978372,0.1530218133252368,0.0,0.0,31.1
enrol,null,base,2,22-25,0.0,0.010478732382255,-0.21657066355298,-0.227049395935235,-0.4536023215835134,-0.3214828500701364,31.1
enrol,null,base,2,26-30,0.0,0.0200735023828645,-0.0464670587291368,-0.0665405611120013,-0.1197034631232128,-0.09337604088200499,31.1
enrol,null,base,2,50+,0.0,0.0001204416531352,0.154126209972781,0.1540057683196458,0.0,0.0,31.1
full,null,base,2,22-25,0.0,0.010478732382255,-0.137785259276058,-0.148263991658313,-0.214501216822648,-0.182380513992838,31.1
full,null,base,2,26-30,0.0,0.0200735023828645,-0.035644889735869,-0.0557183921187335,-0.0705766683669154,-0.0548857347400793,31.1
full,null,base,2,50+,0.0,0.0001204416531352,0.0887394918886721,0.0886190502355369,0.0,0.0,31.1
OL_exact,null,base,3,22-25,0.0,-0.0423034852315426,-0.232251901366162,-0.1899484161346194,-0.3037733102498487,-0.2374495720700347,31.4
OL_exact,null,base,3,26-30,0.0,0.0246506454474179,0.0106177659989992,-0.0140328794484187,-0.1095357137413255,-0.0737439727348603,31.4
OL_exact,null,base,3,50+,0.0,0.0095746382426978,0.129956685604002,0.1203820473613042,0.0,0.0,31.4
OL_daioe,null,base,3,22-25,0.0,-0.0423034852315426,-0.202478382861498,-0.1601748976299554,-0.3275520488014892,-0.24779173097572718,31.4
OL_daioe,null,base,3,26-30,0.0,0.0246506454474179,-0.0118781535380291,-0.036528798985447,-0.10927184975207119,-0.07356879454072959,31.4
OL_daioe,null,base,3,50+,0.0,0.0095746382426978,0.134426116236158,0.12485147799346019,0.0,0.0,31.4
fresh_stock,null,base,3,22-25,0.0,-0.0423034852315426,-0.202478382861498,-0.1601748976299554,-0.3275520488014892,-0.24779173097572718,31.4
fresh_stock,null,base,3,26-30,0.0,0.0246506454474179,-0.0118781535380291,-0.036528798985447,-0.10927184975207119,-0.07356879454072959,31.4
fresh_stock,null,base,3,50+,0.0,0.0095746382426978,0.134426116236158,0.12485147799346019,0.0,0.0,31.4
entrant,null,base,3,22-25,0.0,-0.0423034852315426,-0.202478382861498,-0.1601748976299554,-0.3275520488014892,-0.24779173097572718,31.4
entrant,null,base,3,26-30,0.0,0.0246506454474179,-0.0118781535380291,-0.036528798985447,-0.10927184975207119,-0.07356879454072959,31.4
entrant,null,base,3,50+,0.0,0.0095746382426978,0.134426116236158,0.12485147799346019,0.0,0.0,31.4
entrant_share,null,base,3,22-25,0.0,-0.0423034852315426,-0.193618656194792,-0.1513151709632494,-0.21238209550550372,-0.1718501146597057,31.4
entrant_share,null,base,3,26-30,0.0,0.0246506454474179,0.0121459227808466,-0.012504722666571301,-0.0877918937536107,-0.0585298059728689,31.4
entrant_share,null,base,3,50+,0.0,0.0095746382426978,0.0994957515192888,0.089921113276591,0.0,0.0,31.4
expband,null,base,3,22-25,0.0,-0.0423034852315426,-0.256499262418893,-0.2141957771873504,-0.499787079421541,-0.329484910905625,31.4
expband,null,base,3,26-30,0.0,0.0246506454474179,-0.0193861837880249,-0.044036829235442804,-0.1239818800287639,-0.08381325591315919,31.4
expband,null,base,3,50+,0.0,0.0095746382426978,0.151891468853294,0.1423168306105962,0.0,0.0,31.4
enrol,null,base,3,22-25,0.0,-0.0423034852315426,-0.202478382861498,-0.1601748976299554,-0.3134853381709442,-0.2478865490809512,31.4
enrol,null,base,3,26-30,0.0,0.0246506454474179,-0.0118781535380291,-0.036528798985447,-0.10216899946328709,-0.0691008704999201,31.4
enrol,null,base,3,50+,0.0,0.0095746382426978,0.134426116236158,0.12485147799346019,0.0,0.0,31.4
full,null,base,3,22-25,0.0,-0.0423034852315426,-0.193618656194792,-0.1513151709632494,-0.2053958751977407,-0.1732675101096937,31.4
full,null,base,3,26-30,0.0,0.0246506454474179,0.0121459227808466,-0.012504722666571301,-0.08069087525281149,-0.0539616693651174,31.4
full,null,base,3,50+,0.0,0.0095746382426978,0.0994957515192888,0.089921113276591,0.0,0.0,31.4
OL_exact,null,base,4,22-25,0.0,0.0149524560822825,-0.282541903208213,-0.2974943592904955,-0.3385735238716083,-0.2212123007947333,31.3
OL_exact,null,base,4,26-30,0.0,-0.0261897688820634,-0.0298648117284966,-0.003675042846433201,-0.0941940717896106,-0.0776166267000334,31.3
OL_exact,null,base,4,50+,0.0,0.0282345681994388,0.141767149168844,0.1135325809694052,0.0,0.0,31.3
OL_daioe,null,base,4,22-25,0.0,0.0149524560822825,-0.25524502811422,-0.2701974841965025,-0.3580066952015928,-0.23123546092354783,31.3
OL_daioe,null,base,4,26-30,0.0,-0.0261897688820634,-0.0244004846797213,0.0017892842023421,-0.09300155513930919,-0.0777858376091442,31.3
OL_daioe,null,base,4,50+,0.0,0.0282345681994388,0.140949274649701,0.1127147064502622,0.0,0.0,31.3
fresh_stock,null,base,4,22-25,0.0,0.0149524560822825,-0.25524502811422,-0.2701974841965025,-0.3580066952015928,-0.23123546092354783,31.3
fresh_stock,null,base,4,26-30,0.0,-0.0261897688820634,-0.0244004846797213,0.0017892842023421,-0.09300155513930919,-0.0777858376091442,31.3
fresh_stock,null,base,4,50+,0.0,0.0282345681994388,0.140949274649701,0.1127147064502622,0.0,0.0,31.3
entrant,null,base,4,22-25,0.0,0.0149524560822825,-0.25524502811422,-0.2701974841965025,-0.3580066952015928,-0.23123546092354783,31.3
entrant,null,base,4,26-30,0.0,-0.0261897688820634,-0.0244004846797213,0.0017892842023421,-0.09300155513930919,-0.0777858376091442,31.3
entrant,null,base,4,50+,0.0,0.0282345681994388,0.140949274649701,0.1127147064502622,0.0,0.0,31.3
entrant_share,null,base,4,22-25,0.0,0.0149524560822825,-0.205902368523781,-0.22085482460606348,-0.23264138837479661,-0.1556823620980896,31.3
entrant_share,null,base,4,26-30,0.0,-0.0261897688820634,-0.0204138342161836,0.005775934665879799,-0.07942825178035759,-0.0644607346274416,31.3
entrant_share,null,base,4,50+,0.0,0.0282345681994388,0.112687234620514,0.0844526664210752,0.0,0.0,31.3
expband,null,base,4,22-25,0.0,0.0149524560822825,-0.290475700047898,-0.30542815613018054,-0.4943300123194659,-0.3067974783546329,31.3
expband,null,base,4,26-30,0.0,-0.0261897688820634,-0.0468285856854607,-0.0206388168033973,-0.1134069522146548,-0.0884663167036251,31.3
expband,null,base,4,50+,0.0,0.0282345681994388,0.163943017511504,0.13570844931206522,0.0,0.0,31.3
enrol,null,base,4,22-25,0.0,0.0149524560822825,-0.25524502811422,-0.2701974841965025,-0.31754601838789176,-0.2140637837908518,31.3
enrol,null,base,4,26-30,0.0,-0.0261897688820634,-0.0244004846797213,0.0017892842023421,-0.087697885959237,-0.0728716449441173,31.3
enrol,null,base,4,50+,0.0,0.0282345681994388,0.140949274649701,0.1127147064502622,0.0,0.0,31.3
full,null,base,4,22-25,0.0,0.0149524560822825,-0.205902368523781,-0.22085482460606348,-0.2031254458492736,-0.1415680756360846,31.3
full,null,base,4,26-30,0.0,-0.0261897688820634,-0.0204138342161836,0.005775934665879799,-0.07394842108592779,-0.059559134803738104,31.3
full,null,base,4,50+,0.0,0.0282345681994388,0.112687234620514,0.0844526664210752,0.0,0.0,31.3
OL_exact,null,lag1,0,22-25,0.0,-0.0137297365979888,-0.160443336218023,-0.14671359962003422,-0.2376158031257693,-0.1759653548624413,32.9
OL_exact,null,lag1,0,26-30,0.0,-0.0073299659607265,-0.0592915721559132,-0.0519616061951867,-0.0636083844414387,-0.0497524170318704,32.9
OL_exact,null,lag1,0,50+,0.0,-0.0079110412412511,0.100887871059684,0.1087989123009351,0.0,0.0,32.9
OL_daioe,null,lag1,0,22-25,0.0,-0.0137297365979888,-0.16016513850588,-0.1464354019078912,-0.2466890131703494,-0.1823020251763334,32.9
OL_daioe,null,lag1,0,26-30,0.0,-0.0073299659607265,-0.0562467411116016,-0.0489167751508751,-0.06606386854674069,-0.0511619769053314,32.9
OL_daioe,null,lag1,0,50+,0.0,-0.0079110412412511,0.108208213994329,0.1161192552355801,0.0,0.0,32.9
fresh_stock,null,lag1,0,22-25,0.0,-0.0137297365979888,-0.16016513850588,-0.1464354019078912,-0.2466890131703494,-0.1823020251763334,32.9
fresh_stock,null,lag1,0,26-30,0.0,-0.0073299659607265,-0.0562467411116016,-0.0489167751508751,-0.06606386854674069,-0.0511619769053314,32.9
fresh_stock,null,lag1,0,50+,0.0,-0.0079110412412511,0.108208213994329,0.1161192552355801,0.0,0.0,32.9
entrant,null,lag1,0,22-25,0.0,-0.0137297365979888,-0.16016513850588,-0.1464354019078912,-0.2466890131703494,-0.1823020251763334,32.9
entrant,null,lag1,0,26-30,0.0,-0.0073299659607265,-0.0562467411116016,-0.0489167751508751,-0.06606386854674069,-0.0511619769053314,32.9
entrant,null,lag1,0,50+,0.0,-0.0079110412412511,0.108208213994329,0.1161192552355801,0.0,0.0,32.9
entrant_share,null,lag1,0,22-25,0.0,-0.0137297365979888,-0.1274238628466,-0.11369412624861121,-0.17479854188091332,-0.13552803883419828,32.9
entrant_share,null,lag1,0,26-30,0.0,-0.0073299659607265,-0.055070101268206,-0.0477401353074795,-0.05602760567175251,-0.0400093029642809,32.9
entrant_share,null,lag1,0,50+,0.0,-0.0079110412412511,0.0811139620839926,0.0890250033252437,0.0,0.0,32.9
expband,null,lag1,0,22-25,0.0,-0.0137297365979888,-0.190729664278324,-0.1769999276803352,-0.3227953602609917,-0.22713079544016468,32.9
expband,null,lag1,0,26-30,0.0,-0.0073299659607265,-0.0621704550354295,-0.054840489074703,-0.0764193067919236,-0.0598530252645237,32.9
expband,null,lag1,0,50+,0.0,-0.0079110412412511,0.128554059484091,0.1364651007253421,0.0,0.0,32.9
enrol,null,lag1,0,22-25,0.0,-0.0137297365979888,-0.16016513850588,-0.1464354019078912,-0.24709598989069842,-0.1802107532566824,32.9
enrol,null,lag1,0,26-30,0.0,-0.0073299659607265,-0.0562467411116016,-0.0489167751508751,-0.061612927836086906,-0.051133616107404,32.9
enrol,null,lag1,0,50+,0.0,-0.0079110412412511,0.108208213994329,0.1161192552355801,0.0,0.0,32.9
full,null,lag1,0,22-25,0.0,-0.0137297365979888,-0.1274238628466,-0.11369412624861121,-0.1776561009824143,-0.13343381221140832,32.9
full,null,lag1,0,26-30,0.0,-0.0073299659607265,-0.055070101268206,-0.0477401353074795,-0.05174696782166531,-0.041958097382549506,32.9
full,null,lag1,0,50+,0.0,-0.0079110412412511,0.0811139620839926,0.0890250033252437,0.0,0.0,32.9
OL_exact,null,lag1,1,22-25,0.0,-0.0202503006493369,-0.143552540243078,-0.1233022395937411,-0.2760112993776917,-0.2063905305746117,31.3
OL_exact,null,lag1,1,26-30,0.0,0.0063273758791091,-0.0345933902737445,-0.0409207661528536,-0.070555968114701,-0.0542596439863697,31.3
OL_exact,null,lag1,1,50+,0.0,0.0217072210589459,0.127002599979479,0.10529537892053309,0.0,0.0,31.3
OL_daioe,null,lag1,1,22-25,0.0,-0.0202503006493369,-0.128029803654297,-0.1077795030049601,-0.2795063504155323,-0.2105440367837593,31.3
OL_daioe,null,lag1,1,26-30,0.0,0.0063273758791091,-0.0528185793861553,-0.0591459552652644,-0.0697137692539168,-0.048193414145781405,31.3
OL_daioe,null,lag1,1,50+,0.0,0.0217072210589459,0.128087812768951,0.1063805917100051,0.0,0.0,31.3
fresh_stock,null,lag1,1,22-25,0.0,-0.0202503006493369,-0.128029803654297,-0.1077795030049601,-0.2795063504155323,-0.2105440367837593,31.3
fresh_stock,null,lag1,1,26-30,0.0,0.0063273758791091,-0.0528185793861553,-0.0591459552652644,-0.0697137692539168,-0.048193414145781405,31.3
fresh_stock,null,lag1,1,50+,0.0,0.0217072210589459,0.128087812768951,0.1063805917100051,0.0,0.0,31.3
entrant,null,lag1,1,22-25,0.0,-0.0202503006493369,-0.128029803654297,-0.1077795030049601,-0.2795063504155323,-0.2105440367837593,31.3
entrant,null,lag1,1,26-30,0.0,0.0063273758791091,-0.0528185793861553,-0.0591459552652644,-0.0697137692539168,-0.048193414145781405,31.3
entrant,null,lag1,1,50+,0.0,0.0217072210589459,0.128087812768951,0.1063805917100051,0.0,0.0,31.3
entrant_share,null,lag1,1,22-25,0.0,-0.0202503006493369,-0.0768672601712597,-0.05661695952192279,-0.2067399347978752,-0.16458420941090018,31.3
entrant_share,null,lag1,1,26-30,0.0,0.0063273758791091,-0.0507512252998499,-0.057078601178959,-0.0603111171233104,-0.0401807132331306,31.3
entrant_share,null,lag1,1,50+,0.0,0.0217072210589459,0.106362319090235,0.0846550980312891,0.0,0.0,31.3
expband,null,lag1,1,22-25,0.0,-0.0202503006493369,-0.177966829829151,-0.1577165291798141,-0.36097473754651066,-0.2621199030211207,31.3
expband,null,lag1,1,26-30,0.0,0.0063273758791091,-0.0576149941853073,-0.0639423700644164,-0.0886587172166957,-0.060313876913695,31.3
expband,null,lag1,1,50+,0.0,0.0217072210589459,0.151968297623034,0.13026107656408809,0.0,0.0,31.3
enrol,null,lag1,1,22-25,0.0,-0.0202503006493369,-0.128029803654297,-0.1077795030049601,-0.26554927646027826,-0.2069726432409573,31.3
enrol,null,lag1,1,26-30,0.0,0.0063273758791091,-0.0528185793861553,-0.0591459552652644,-0.0649562523871249,-0.0452435347389809,31.3
enrol,null,lag1,1,50+,0.0,0.0217072210589459,0.128087812768951,0.1063805917100051,0.0,0.0,31.3
full,null,lag1,1,22-25,0.0,-0.0202503006493369,-0.0768672601712597,-0.05661695952192279,-0.19636933538238718,-0.1618594157796202,31.3
full,null,lag1,1,26-30,0.0,0.0063273758791091,-0.0507512252998499,-0.057078601178959,-0.0559201719872148,-0.0372330048218495,31.3
full,null,lag1,1,50+,0.0,0.0217072210589459,0.106362319090235,0.0846550980312891,0.0,0.0,31.3
OL_exact,null,lag1,2,22-25,0.0,0.010478732382255,-0.167662511513483,-0.178141243895738,-0.23516642350438718,-0.1703936911716532,33.9
OL_exact,null,lag1,2,26-30,0.0,0.0200735023828645,-0.0468029704786261,-0.06687647286149061,-0.0562507780437239,-0.0415149417135397,33.9
OL_exact,null,lag1,2,50+,0.0,0.0001204416531352,0.113130899162404,0.1130104575092688,0.0,0.0,33.9
OL_daioe,null,lag1,2,22-25,0.0,0.010478732382255,-0.187942326960591,-0.19842105934284598,-0.320658686883029,-0.217274260224822,33.9
OL_daioe,null,lag1,2,26-30,0.0,0.0200735023828645,-0.0500105298428052,-0.0700840322256697,-0.06606843732731141,-0.044893589446290905,33.9
OL_daioe,null,lag1,2,50+,0.0,0.0001204416531352,0.153462965094406,0.15334252344127078,0.0,0.0,33.9
fresh_stock,null,lag1,2,22-25,0.0,0.010478732382255,-0.187942326960591,-0.19842105934284598,-0.320658686883029,-0.217274260224822,33.9
fresh_stock,null,lag1,2,26-30,0.0,0.0200735023828645,-0.0500105298428052,-0.0700840322256697,-0.06606843732731141,-0.044893589446290905,33.9
fresh_stock,null,lag1,2,50+,0.0,0.0001204416531352,0.153462965094406,0.15334252344127078,0.0,0.0,33.9
entrant,null,lag1,2,22-25,0.0,0.010478732382255,-0.187942326960591,-0.19842105934284598,-0.320658686883029,-0.217274260224822,33.9
entrant,null,lag1,2,26-30,0.0,0.0200735023828645,-0.0500105298428052,-0.0700840322256697,-0.06606843732731141,-0.044893589446290905,33.9
entrant,null,lag1,2,50+,0.0,0.0001204416531352,0.153462965094406,0.15334252344127078,0.0,0.0,33.9
entrant_share,null,lag1,2,22-25,0.0,0.010478732382255,-0.141016954908098,-0.151495687290353,-0.17002682066063352,-0.12086597963227651,33.9
entrant_share,null,lag1,2,26-30,0.0,0.0200735023828645,-0.022956489939987,-0.0430299923228515,-0.0453060131762532,-0.034259118835914495,33.9
entrant_share,null,lag1,2,50+,0.0,0.0001204416531352,0.0871761236826116,0.0870556820294764,0.0,0.0,33.9
expband,null,lag1,2,22-25,0.0,0.010478732382255,-0.182357808522638,-0.192836540904893,-0.326286062547181,-0.224878247638279,33.9
expband,null,lag1,2,26-30,0.0,0.0200735023828645,-0.0404741261332543,-0.06054762851611881,-0.0695284509310241,-0.0455011324595508,33.9
expband,null,lag1,2,50+,0.0,0.0001204416531352,0.152462060184514,0.1523416185313788,0.0,0.0,33.9
enrol,null,lag1,2,22-25,0.0,0.010478732382255,-0.187942326960591,-0.19842105934284598,-0.298497574013044,-0.213902981809057,33.9
enrol,null,lag1,2,26-30,0.0,0.0200735023828645,-0.0500105298428052,-0.0700840322256697,-0.051451196025556305,-0.0360617598393904,33.9
enrol,null,lag1,2,50+,0.0,0.0001204416531352,0.153462965094406,0.15334252344127078,0.0,0.0,33.9
full,null,lag1,2,22-25,0.0,0.010478732382255,-0.141016954908098,-0.151495687290353,-0.16121002425716852,-0.1213006502766995,33.9
full,null,lag1,2,26-30,0.0,0.0200735023828645,-0.022956489939987,-0.0430299923228515,-0.0341845100412494,-0.0280350693956304,33.9
full,null,lag1,2,50+,0.0,0.0001204416531352,0.0871761236826116,0.0870556820294764,0.0,0.0,33.9
OL_exact,null,lag1,3,22-25,0.0,-0.0423034852315426,-0.166652437417647,-0.1243489521861044,-0.2579491836435521,-0.20421547659430708,34.0
OL_exact,null,lag1,3,26-30,0.0,0.0246506454474179,0.0244775845566307,-0.00017306089078720013,-0.0729116354728354,-0.0488379303538238,34.0
OL_exact,null,lag1,3,50+,0.0,0.0095746382426978,0.133609126645475,0.1240344884027772,0.0,0.0,34.0
OL_daioe,null,lag1,3,22-25,0.0,-0.0423034852315426,-0.132884941491521,-0.0905814562599784,-0.2598201861723278,-0.21057008696926283,34.0
OL_daioe,null,lag1,3,26-30,0.0,0.0246506454474179,0.0057719179148511,-0.0188787275325668,-0.0720424531254316,-0.0486882199894652,34.0
OL_daioe,null,lag1,3,50+,0.0,0.0095746382426978,0.130005455639608,0.1204308173969102,0.0,0.0,34.0
fresh_stock,null,lag1,3,22-25,0.0,-0.0423034852315426,-0.132884941491521,-0.0905814562599784,-0.2598201861723278,-0.21057008696926283,34.0
fresh_stock,null,lag1,3,26-30,0.0,0.0246506454474179,0.0057719179148511,-0.0188787275325668,-0.0720424531254316,-0.0486882199894652,34.0
fresh_stock,null,lag1,3,50+,0.0,0.0095746382426978,0.130005455639608,0.1204308173969102,0.0,0.0,34.0
entrant,null,lag1,3,22-25,0.0,-0.0423034852315426,-0.132884941491521,-0.0905814562599784,-0.2598201861723278,-0.21057008696926283,34.0
entrant,null,lag1,3,26-30,0.0,0.0246506454474179,0.0057719179148511,-0.0188787275325668,-0.0720424531254316,-0.0486882199894652,34.0
entrant,null,lag1,3,50+,0.0,0.0095746382426978,0.130005455639608,0.1204308173969102,0.0,0.0,34.0
entrant_share,null,lag1,3,22-25,0.0,-0.0423034852315426,-0.119587926838179,-0.07728444160663639,-0.2046605099919636,-0.1567867477244336,34.0
entrant_share,null,lag1,3,26-30,0.0,0.0246506454474179,0.016692780415,-0.0079578650324179,-0.0528688028100687,-0.035935941287443804,34.0
